id,nome,email,cpf,data_cadastro,status,mensalidade
1,Ardene Pandya,apandya0@timesonline.co.uk,726446766X,2025-07-12,Ativo,188.98
2,Boot Werlock,bwerlock1@comsenz.com,667240063X,2025-10-02,Inadimplente,133.6
3,Mahmoud McCartney,mmccartney2@clickbank.net,5311696818,2025-05-21,Cancelado,127.58
4,Padriac Gisbourn,pgisbourn3@smugmug.com,089833683X,2025-06-16,Ativo,137.48
5,Kimmy Josephoff,kjosephoff4@nyu.edu,6278287331,2025-05-28,Ativo,168.93
6,Anallise Whitta,awhitta5@archive.org,3789713333,2025-05-21,Cancelado,184.29
7,Gwendolen Iveans,giveans6@state.gov,2014245975,2025-07-30,Cancelado,150.06
8,Prue Rawlingson,prawlingson7@oaic.gov.au,3497221430,2026-02-08,Inadimplente,155.8
9,Man Maplethorpe,mmaplethorpe8@eepurl.com,6346007815,2025-09-22,Ativo,188.24
10,Lauren Carstairs,lcarstairs9@google.ca,6628104435,2025-04-09,Inadimplente,162.35
11,Gilbertine O'Heaney,,051069523X,2025-09-19,Ativo,135.12
12,Cullin Breazeall,cbreazeallb@elpais.com,8019069828,2025-05-26,Ativo,151.87
13,Cassandra Eddis,,0825821525,2025-04-29,Ativo,165.24
14,Benedikta Browett,bbrowettd@ucoz.com,4708520239,2026-01-31,Ativo,157.17
15,Darin Pigford,dpigforde@cnbc.com,5395669507,2025-11-17,Cancelado,152.59
16,Yolane Philipsson,yphilipssonf@yahoo.com,5272548655,2025-05-14,Cancelado,184.1
17,Omar Bowness,obownessg@merriam-webster.com,5091536914,2025-09-03,Cancelado,135.61
18,Paten Vanyukhin,pvanyukhinh@youtu.be,9424380585,2025-10-17,Cancelado,135.43
19,Mabelle Ludl,mludli@yolasite.com,7356908522,2025-12-19,Inadimplente,143.22
20,Tiffany Steddall,tsteddallj@eepurl.com,1079836756,2025-09-29,Ativo,133.41
21,Whitney Philippart,wphilippartk@senate.gov,1545117314,2025-11-12,Inadimplente,119.17
22,Delcine Featherston,dfeatherstonl@digg.com,7951874663,2025-09-03,Ativo,171.73
23,Corby Yven,cyvenm@wikia.com,028219522X,2025-09-10,Ativo,135.51
24,Ezmeralda Blazeby,,9333868720,2025-12-01,Ativo,130.11
25,Alan Nutley,anutleyo@4shared.com,1124559817,2025-08-20,Inadimplente,138.41
26,Robinia Sprull,rsprullp@plala.or.jp,9226142246,2025-11-01,Ativo,176.33
27,Werner Paradise,wparadiseq@adobe.com,2090523328,2025-12-08,Cancelado,140.95
28,Danyelle Tubby,dtubbyr@artisteer.com,4248398494,2026-01-20,Cancelado,132.67
29,Alair Stickins,astickinss@ehow.com,3199547206,2026-02-11,Cancelado,147.56
30,Johnathon Bendson,jbendsont@dailymail.co.uk,0132908271,2025-07-29,Inadimplente,157.22
31,Lorelle Heazel,lheazelu@youtu.be,0976182955,2025-09-28,Cancelado,122.15
32,Dietrich Exley,dexleyv@google.de,6495057733,2025-07-05,Inadimplente,150.57
33,Malynda Shapera,mshaperaw@cdbaby.com,6370994138,2025-10-09,Cancelado,162.34
34,Nealson Wyldish,nwyldishx@fema.gov,3440010252,2025-03-24,Ativo,179.14
35,Ranique Issacov,rissacovy@sphinn.com,1970441607,2025-07-12,Inadimplente,129.07
36,Guenevere Lyster,glysterz@dion.ne.jp,3973108056,2025-10-24,Ativo,136.94
37,Olga Boshard,oboshard10@craigslist.org,1349004030,2025-03-05,Cancelado,149.71
38,Lindi Bockmaster,lbockmaster11@nifty.com,5728315429,2025-10-16,Cancelado,141.8
39,Baryram Barok,,2801385441,2026-01-26,Ativo,180.75
40,Hope Casillas,hcasillas13@google.com.hk,4419578408,2025-08-10,Ativo,147.0
41,Wanids Gourlie,wgourlie14@plala.or.jp,1814447962,2025-07-09,Cancelado,153.94
42,Innis McPharlain,imcpharlain15@newyorker.com,6728459553,2025-10-01,Ativo,172.99
43,Bertine Ackrill,,1598319329,2026-01-26,Ativo,122.48
44,Rora Lapree,rlapree17@weibo.com,3143712546,2025-10-25,Inadimplente,147.82
45,Silvain Horning,shorning18@vimeo.com,1339298538,2026-01-23,Ativo,168.83
46,Nobie Caveill,ncaveill19@cnn.com,9213736134,2025-08-02,Ativo,187.82
47,Missie Scone,,1638771529,2025-09-13,Ativo,129.98
48,Mildred Cree,mcree1b@networksolutions.com,1341261557,2025-10-27,Ativo,163.9
49,Had Kenwell,hkenwell1c@dailymotion.com,4959268190,2025-10-28,Ativo,155.49
50,Sharleen Flahive,sflahive1d@utexas.edu,9963194338,2025-05-10,Cancelado,177.09
